Issue ID,Tool,Project,Version,Branch,Rule ID,CWE,Severity,Confidence,Likelihood,Impact,Component,File Path,Function,Line,Column,Status,Assignee,First Seen,Last Seen,Introduced In Commit,Introduced By,Description,Recommendation,Tags
POL-99991,Polaris SAST,SampleApp,2026.03,main,JAVA_SQL_INJECTION,89,Critical,High,High,High,AuthService,src/main/java/com/sampleapp/db/UserDAO.java,findByUsername,44,13,New,anil.k,2026-03-05,2026-03-05,a1b2c3d4,feature/rewards-engine,Concatenated SQL query parameter allows injection.,Use PreparedStatement and parameter binding; validate input.,"OWASP-A1-Injection,PCI"
POL-99992,Polaris SAST,SampleApp,2026.03,main,JAVA_COMMAND_INJECTION,78,Critical,High,High,High,Security,src/main/java/com/sampleapp/auth/LoginController.java,login,88,9,Confirmed,dev1,2026-03-05,2026-03-05,b2c3d4e5,hotfix/auth-null,User input flows into Runtime.exec command.,Avoid shell invocation; use safe APIs with strict validation.,"OWASP-A1-Injection,Auth"
POL-10000,Polaris SAST,SampleApp,2026.03,main,JAVA_WEAK_HASH_MD5,327,Critical,Low,Medium,High,Security,src/main/java/com/sampleapp/db/Handler2.java,deleteAsync,236,5,New,dev1,2026-02-10,2026-03-05,d325501e,feature/rewards-engine,Use of weak hash MD5,Replace with SHA-256 or bcrypt/Argon2 as appropriate.,Logging
POL-10001,Polaris SAST,SampleApp,2026.03,main,JAVA_DESERIALIZATION_RCE,502,Critical,Medium,High,High,Common,src/main/java/com/sampleapp/api/Repository6.java,list,42,94,Triaged,anil.k,2026-02-16,2026-03-05,90273735,feature/rewards-engine,Unsafe deserialization of untrusted data,Avoid native deserialization; use safe formats (JSON) or a validation whitelist.,"Auth,PCI,OWASP-A1-Injection"
POL-10002,Polaris SAST,SampleApp,2026.03,main,JAVA_COMMAND_INJECTION,78,High,Medium,Low,Medium,Core,src/main/java/com/sampleapp/util/Repository4.java,execute,369,83,New,dev1,2026-02-13,2026-03-05,2d1e85df,feature/rewards-engine,Command injection through Runtime.exec,Use ProcessBuilder with argument arrays; validate and escape input.,OWASP-A1-Injection
POL-10003,Polaris SAST,SampleApp,2026.03,main,JAVA_INSECURE_RANDOM,330,High,High,Low,Low,Payments,src/main/java/com/sampleapp/security/Handler8.java,save,349,59,New,unassigned,2026-02-15,2026-03-05,d2e380d9,feature/payments-v2,Use of predictable random (java.util.Random),Use java.security.SecureRandom for security-sensitive values.,"OWASP-A3-DataExposure,OWASP-A1-Injection"
POL-10004,Polaris SAST,SampleApp,2026.03,main,JAVA_XSS_REFLECTED,79,Medium,Low,Medium,Low,API,src/main/java/com/sampleapp/orders/Client10.java,update,303,111,Ignored,unassigned,2026-02-16,2026-02-28,66feca55,feature/payments-v2,Reflected XSS via unsanitized output,HTML-encode outputs; validate and sanitize user input.,Reliability
POL-10005,Polaris SAST,SampleApp,2026.03,main,JAVA_WEAK_HASH_MD5,327,High,Low,Low,Low,Security,src/main/java/com/sampleapp/db/Repository3.java,delete,291,118,New,unassigned,2026-02-03,2026-03-05,1bf96dd3,feature/rewards-engine,Use of weak hash MD5,Replace with SHA-256 or bcrypt/Argon2 as appropriate.,Performance
POL-10006,Polaris SAST,SampleApp,2026.03,main,JAVA_INSECURE_COOKIE,614,Medium,High,High,Low,Config,src/main/java/com/sampleapp/db/Repository9.java,list,128,119,Confirmed,anil.k,2026-02-11,2026-03-05,504f81db,feature/rewards-engine,Cookie without Secure/HttpOnly flags,Set Secure and HttpOnly (and SameSite) flags on session cookies.,"Reliability,Auth,PCI"
POL-10007,Polaris SAST,SampleApp,2026.03,main,JAVA_SQL_INJECTION,89,Critical,Low,High,High,API,src/main/java/com/sampleapp/auth/Manager6.java,register,162,86,Triaged,dev2,2026-01-20,2026-03-05,c83166db,dependabot/bump-spring,SQL Injection via concatenated query,Use PreparedStatement with bind variables; avoid string concatenation.,"Logging,Reliability"
POL-10008,Polaris SAST,SampleApp,2026.03,main,JAVA_WEAK_HASH_SHA1,327,Critical,Low,Low,High,AuthService,src/main/java/com/sampleapp/orders/Handler6.java,register,117,69,Triaged,anil.k,2026-01-27,2026-03-05,c17b67b4,feature/payments-v2,Use of weak hash SHA-1,Replace with SHA-256 or bcrypt/Argon2 as appropriate.,OWASP-A3-DataExposure
POL-10009,Polaris SAST,SampleApp,2026.03,main,JAVA_XSS_REFLECTED,79,High,Medium,High,Medium,AuthService,src/main/java/com/sampleapp/db/Client1.java,save,252,37,Triaged,qa1,2026-01-19,2026-03-05,41dda5af,feature/rewards-engine,Reflected XSS via unsanitized output,HTML-encode outputs; validate and sanitize user input.,"Performance,OWASP-A5-Misconfig,OWASP-A1-Injection"
POL-10010,Polaris SAST,SampleApp,2026.03,main,JAVA_COMMAND_INJECTION,78,Low,High,Low,High,Security,src/main/java/com/sampleapp/orders/Controller10.java,handle,40,80,New,qa1,2026-01-21,2026-03-05,fe4fec41,feature/rewards-engine,Command injection through Runtime.exec,Use ProcessBuilder with argument arrays; validate and escape input.,Performance
POL-10011,Polaris SAST,SampleApp,2026.03,main,JAVA_INFORMATION_EXPOSURE_STACKTRACE,209,Low,High,Low,High,Orders,src/main/java/com/sampleapp/db/Repository2.java,handle,100,57,Fixed,qa1,2026-02-04,2026-02-28,962428b8,refactor/core-cleanup,Stack trace exposed to client,Return generic errors to clients; log detailed stack traces server-side.,OWASP-A3-DataExposure
POL-10012,Polaris SAST,SampleApp,2026.03,main,JAVA_XSS_REFLECTED,79,High,Low,High,Low,Payments,src/main/java/com/sampleapp/security/Handler11.java,execute,148,116,Fixed,anil.k,2026-02-20,2026-03-04,47afc9c1,dependabot/bump-spring,Reflected XSS via unsanitized output,HTML-encode outputs; validate and sanitize user input.,"OWASP-A1-Injection,OWASP-A3-DataExposure,Reliability"
POL-10013,Polaris SAST,SampleApp,2026.03,main,JAVA_RESOURCE_LEAK,772,Critical,Medium,Low,Low,Core,src/main/java/com/sampleapp/orders/Service1.java,execute,40,116,Triaged,unassigned,2026-02-08,2026-03-05,4f27958d,hotfix/auth-null,Resource leak: stream not closed,Use try-with-resources to auto-close streams.,Logging
POL-10014,Polaris SAST,SampleApp,2026.03,main,JAVA_XSS_REFLECTED,79,Medium,Medium,Medium,Low,Security,src/main/java/com/sampleapp/service/Service12.java,register,39,110,Triaged,qa1,2026-02-11,2026-03-05,71e6dadf,feature/rewards-engine,Reflected XSS via unsanitized output,HTML-encode outputs; validate and sanitize user input.,"GDPR,Logging"
POL-10015,Polaris SAST,SampleApp,2026.03,main,JAVA_HARDCODED_CREDENTIALS,798,Low,High,Medium,High,Orders,src/main/java/com/sampleapp/auth/Controller10.java,save,180,56,Confirmed,dev1,2026-01-22,2026-03-05,b8da0264,hotfix/auth-null,Hardcoded credential in source,Remove secrets from code; use a secrets manager and rotate keys.,"Logging,OWASP-A3-DataExposure"
POL-10016,Polaris SAST,SampleApp,2026.03,main,JAVA_INFORMATION_EXPOSURE_STACKTRACE,209,High,High,Low,Medium,Orders,src/main/java/com/sampleapp/orders/Repository7.java,execute,118,54,Confirmed,dev2,2026-01-30,2026-03-05,483e2ae0,feature/payments-v2,Stack trace exposed to client,Return generic errors to clients; log detailed stack traces server-side.,"GDPR,Performance,Auth"
