Issue ID,Checker,CWE,Severity,Impact,File Path,Function,Line,Component,Language,Introduced In Commit,Status,First Detected,Last Seen,Occurrences,Short Description,Recommendation
COV-1000,SQL_INJECTION,89,Critical,Security,src/main/java/com/sampleapp/db/UserDAO.java,findByUsername,45,AuthService,Java,a1b2c3d4,New,3/5/2026,3/5/2026,1,Untrusted input flows into SQL query.,Use prepared statements with bind variables.
COV-1001,COMMAND_INJECTION,78,Critical,Security,src/main/java/com/sampleapp/auth/LoginController.java,login,87,AuthService,Java,b2c3d4e5,New,3/5/2026,3/5/2026,1,Shell command constructed with user input.,Use ProcessBuilder with explicit args; validate/escape input.
COV-1002,BUFFER_OVERFLOW,120,Critical,Stability,native/auth/auth_utils.c,copy_user,112,NativeAuth,C,c3d4e5f6,New,3/5/2026,3/5/2026,1,Potential overflow via strcpy on user buffer.,Use strncpy/strlcpy and bounds checking.
COV-1003,WEAK_CRYPTO,327,High,Security,src/main/java/com/sampleapp/security/HashUtil.java,md5,29,Security,Java,d4e5f6g7,Existing,2/20/2026,3/5/2026,3,MD5 used for password hashing.,Switch to bcrypt/Argon2 or at least SHA-256 with salt+pepper.
COV-1004,INFO_EXPOSURE,200,High,Security,src/main/java/com/sampleapp/api/ErrorHandler.java,handle,61,API,Java,f6g7h8i9,Existing,2/5/2026,3/5/2026,5,Stack trace leaked in API response.,Return generic error; log details server-side only.
COV-1005,PERM_INSECURE_TEMPFILE,379,High,Security,src/main/java/com/sampleapp/fs/FileService.java,createTemp,142,Core,Java,e5f6g7h8,New,3/5/2026,3/5/2026,1,Temp file created world-writable.,Use secure temp APIs and restrictive file permissions.
COV-1006,RESOURCE_LEAK,772,Medium,Reliability,src/main/java/com/sampleapp/db/DbClient.java,query,98,Core,Java,aa11bb22,Existing,1/18/2026,3/5/2026,4,ResultSet not closed in error path.,Use try-with-resources for DB objects.
COV-1007,NULL_DEREF,476,Medium,Reliability,src/main/java/com/sampleapp/service/OrderService.java,submit,210,Order,Java,bb22cc33,New,3/5/2026,3/5/2026,1,Possible null dereference of order.getUser().,Add null checks or use Optional.
COV-1008,HARDCODED_SECRET,798,Medium,Security,src/main/resources/application.properties,<global>,12,Config,Config,cc33dd44,Existing,2/20/2026,3/5/2026,2,API key present in config.,Move secrets to vault/ENV; rotate the key.
COV-1009,LOG_SENSITIVE,532,Medium,Privacy,src/main/java/com/sampleapp/auth/LoginController.java,login,103,AuthService,Java,dd44ee55,New,3/5/2026,3/5/2026,1,Logging contains partial credentials.,Mask or omit sensitive fields from logs.
COV-1010,DEAD_CODE,561,Low,Maintainability,src/main/java/com/sampleapp/util/MathUtil.java,unused,17,Common,Java,ee55ff66,Existing,1/18/2026,3/5/2026,1,Unused method never referenced.,Remove unused code to reduce complexity.
COV-1011,INEFFICIENT_COLLECTION,401,Low,Performance,src/main/java/com/sampleapp/util/ListOps.java,merge,77,Common,Java,ff66gg77,Existing,2/5/2026,3/5/2026,3,Repeated list concatenation in loop.,Use StringBuilder or pre-sized collections.
